"Cluster","Total_Points","G_Old_Rej","B_Old_Rej","D_Old_Rej","Ext_Old_Rej","G_New_Rej","B_New_Rej","D_New_Rej","Ext_New_Rej","G_Old_Rate","B_Old_Rate","D_Old_Rate","Ext_Old_Rate","G_New_Rate","B_New_Rate","D_New_Rate","Ext_New_Rate","Old_Fail_BSRN_Closure","New_Fail_BSRN_Closure","Percent_Old_Fail","Percent_New_Fail"
"TSS",1748629,133,0,783,872,10391,0,6785,12319,0.00760595872537857,0,0.0447779374584317,0.0498676391618805,0.594236970792547,0,0.388018270313486,0.704494778480741,76,165,8.71559633027523,1.33939443136618
"PSP",738868,1433,20,10380,11413,3220,8,444,3423,0.193945332589854,0.00270684344158903,1.4048517461847,1.54466020994278,0.435801794095833,0.00108273737663561,0.0600919244032764,0.463276255027962,549,642,4.81030403925348,18.7554776511832
"ASD",804029,82,47,371,487,4879,38,5064,6933,0.0101986371138354,0.00584556029695446,0.0461426142589384,0.0605699545663154,0.606818908273209,0.00472619768689935,0.629828028591009,0.862282330612453,129,169,26.4887063655031,2.43761719313429
"MCM",774275,637,5,3543,3864,5901,0,5927,7728,0.0822705111233089,0.000645765393432566,0.457589357786316,0.499047496044687,0.762132317329114,0,0.765490297374964,0.998094992089374,21,22,0.543478260869565,0.284679089026915
"TML",2554231,396,3,1343,1660,18210,3,4877,20517,0.0155036878027085,0.000117452180323549,0.0525794260581756,0.0649902064456974,0.712934734563945,0.000117452180323549,0.190938094479317,0.803255461232754,84,251,5.06024096385542,1.22337573719355
"HAA",83468,0,1,0,1,395,15,181,409,0,0.00119806392869123,0,0.00119806392869123,0.473235251833038,0.0179709589303685,0.216849571093114,0.490008146834715,0,0,0,0
"LLA",361978,10,0,138,148,1839,0,272,1985,0.00276259883197321,0,0.0381238638812304,0.0408864627132036,0.508041925199874,0,0.0751426882296714,0.548375868146683,2,6,1.35135135135135,0.302267002518892
